G,Iter,K,LR,Original_Steps,Train_Acc,Train_Loss,Val_Acc,Val_F1,Val_Precision,Val_Recall,final_test_accuracy,final_test_f1-score,final_test_precision,final_test_recall,m,time,time_comm,time_comm_per_iter,time_comp_per_iter,time_per_iter,time_step,upper_bound
,1,,0.0009999987411224156,1,7.8125,2.3023223876953125,,,,,,,,,,,,2.2464537620544434,0.4388160705566406,2.685269832611084,,
,1,,,1,,,10.03,1.9167877345919757,3.3815539450189536,10.03,,,,,,,,,,,,
,2,,0.0009999942194483771,2,8.30078125,2.4197998046875,,,,,,,,,,,,1.4727070331573486,0.10076785087585449,1.5734748840332031,,
,3,,0.0009999864093162337,3,10.286458333333334,2.3940601348876953,,,,,,,,,,,,0.025759220123291016,0.02696824073791504,0.052727460861206055,,
,4,,0.0009999753107773517,4,13.18359375,2.3635573387145996,,,,,,,,,,,,0.05138969421386719,0.34262752532958984,0.39401721954345703,,
,5,,0.0009999609239047264,6,13.411458333333334,2.337625821431478,,,,,,,,,,,,0.046018123626708984,0.18128418922424316,0.22730231285095215,,
,6,,0.0009999432487929809,8,15.234375,2.3151767253875732,,,,,,,,,,,,0.02702617645263672,0.024827003479003906,0.051853179931640625,,
,7,,0.0009999247774828371,9,15.776909722222221,2.3044139014350042,,,,,,,,,,,,0.03909707069396973,0.33055782318115234,0.36965489387512207,,
,8,,0.0009999005262027866,10,16.30859375,2.2983503341674805,,,,,,,,,,,,0.051065683364868164,0.12360882759094238,0.17467451095581055,,
,9,,0.0009998729870890459,11,16.49502840909091,2.2913889451460405,,,,,,,,,,,,0.04191756248474121,0.12790393829345703,0.16982150077819824,,
,10,,0.0009998421603227394,12,17.122395833333332,2.2837950388590493,,,,,,,,,,,,0.0662848949432373,0.2642836570739746,0.3305685520172119,,
,11,,0.000999808046106615,13,17.608173076923077,2.2780760251558743,,,,,,,,,,,,0.061928749084472656,0.251964807510376,0.31389355659484863,,
,12,,0.000999770644665041,14,17.7734375,2.2737364087785994,,,,,,,,,,,,0.05214571952819824,0.13958501815795898,0.19173073768615723,,
,13,,0.000999729956244007,15,17.5390625,2.2707518259684245,,,,,,,,,,,,0.05027151107788086,0.03358054161071777,0.08385205268859863,,
,14,,0.0009996859811111198,16,17.6025390625,2.2672219276428223,,,,,,,,,,,,0.048769474029541016,0.2683868408203125,0.3171563148498535,,
,15,,0.0009996387195556043,17,18.232996323529413,2.2598015280330883,,,,,,,,,,,,0.04995894432067871,0.29430413246154785,0.34426307678222656,,
,16,,0.0009995943617523103,18,18.543836805555557,2.254086282518175,,,,,,,,,,,,0.048883676528930664,0.18827438354492188,0.23715806007385254,,
,17,,0.0009995405279723077,19,18.65748355263158,2.2490381943552116,,,,,,,,,,,,0.04204678535461426,0.35170555114746094,0.3937523365020752,,
,18,,0.000999483408746684,20,18.828125,2.2448630332946777,,,,,,,,,,,,0.05283331871032715,0.13898158073425293,0.19181489944458008,,
,19,,0.0009994230044511122,21,19.280133928571427,2.2408975873674666,,,,,,,,,,,,0.04878568649291992,0.18560075759887695,0.23438644409179688,,
,20,,0.0009993593154828714,23,19.675611413043477,2.2362914292708687,,,,,,,,,,,,1.1830008029937744,0.28214287757873535,1.4651436805725098,,
,21,,0.000999292342260842,26,20.064603365384617,2.226380788362943,,,,,,,,,,,,0.03212141990661621,0.03777337074279785,0.06989479064941406,,
,22,,0.000999230738630387,27,20.13165509259259,2.222305527439824,,,,,,,,,,,,0.04527926445007324,0.030133962631225586,0.07541322708129883,,
,23,,0.0009991571976069574,28,20.249720982142858,2.2186451128550937,,,,,,,,,,,,0.0746304988861084,0.32909440994262695,0.40372490882873535,,
,24,,0.000999080373687547,29,20.5078125,2.213617982535527,,,,,,,,,,,,0.03724098205566406,0.2991344928741455,0.33637547492980957,,
